Referee,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HF,AF,HY,AY,HR,AR
M Oliver,2,0,H,1,0,H,12,8,0,0,0,0
P Tierney,5,1,H,1,0,H,11,9,1,2,0,0
D Coote,1,2,A,1,0,H,10,7,2,1,0,0
J Moss,3,0,H,2,0,H,15,11,0,0,0,0
A Madley,3,1,H,0,1,A,13,15,2,0,0,0
C Pawson,1,0,H,1,0,H,6,10,1,2,0,0
M Dean,3,2,H,2,0,H,18,13,3,1,0,0
A Marriner,0,3,A,0,1,A,4,14,1,1,0,0
M Atkinson,2,4,A,2,1,H,4,3,1,0,0,0
A Taylor,1,0,H,0,0,D,11,8,2,1,0,0
M Dean,2,0,H,1,0,H,6,12,0,0,0,0
D Coote,2,0,H,1,0,H,8,18,3,4,0,0
M Atkinson,0,0,D,0,0,D,12,9,3,1,0,0
D England,2,2,D,1,1,D,6,13,2,4,0,0
G Scott,5,0,H,2,0,H,13,7,1,0,0,0
A Taylor,2,0,H,2,0,H,11,6,4,0,0,0
C Pawson,1,1,D,1,0,H,12,10,2,3,0,0
S Attwell,0,1,A,0,1,A,9,7,1,4,0,0
P Tierney,0,2,A,0,2,A,10,4,3,0,0,0
M Oliver,4,1,H,1,0,H,8,8,0,1,0,1
M Atkinson,5,0,H,3,0,H,5,7,1,2,0,1
P Bankes,1,1,D,1,1,D,15,14,3,3,0,0
J Moss,0,2,A,0,1,A,7,9,1,2,0,0
P Tierney,2,2,D,0,0,D,11,6,3,3,0,0
R Jones,1,2,A,1,1,D,8,9,2,1,0,0
S Attwell,2,2,D,1,0,H,10,7,1,0,0,0
A Taylor,1,1,D,1,1,D,13,4,0,2,0,1
M Oliver,1,1,D,0,0,D,13,9,4,3,0,0
A Marriner,1,0,H,1,0,H,8,14,3,3,0,0
M Dean,0,1,A,0,0,D,7,9,3,4,0,0
J Moss,3,0,H,0,0,D,13,15,2,1,0,1
M Oliver,1,0,H,0,0,D,9,11,1,2,0,0
G Scott,0,1,A,0,0,D,9,12,3,2,0,0
P Tierney,0,1,A,0,0,D,4,11,1,2,0,0
A Taylor,4,1,H,1,0,H,9,2,1,0,0,0
D Coote,0,0,D,0,0,D,10,12,3,1,0,1
P Bankes,0,2,A,0,0,D,15,13,3,3,0,0
S Attwell,3,0,H,1,0,H,11,11,1,4,0,0
C Pawson,0,3,A,0,1,A,9,8,2,1,1,0
M Atkinson,3,1,H,0,0,D,3,6,1,1,0,0
M Dean,1,1,D,1,1,D,9,11,2,2,0,0
D England,0,2,A,0,2,A,10,7,4,2,0,1
A Taylor,0,1,A,0,1,A,9,8,2,1,0,0
A Madley,3,0,H,1,0,H,17,11,3,1,0,0
J Moss,0,0,D,0,0,D,5,12,0,2,0,0
R Jones,1,3,A,1,1,D,10,14,1,1,0,0
C Pawson,3,0,H,0,0,D,7,10,1,1,0,0
S Attwell,2,1,H,1,0,H,8,10,2,1,0,0
M Atkinson,1,2,A,1,1,D,5,8,0,0,0,0
P Tierney,0,3,A,0,0,D,4,15,0,1,0,0
M Oliver,0,1,A,0,0,D,12,10,3,2,0,0
M Dean,0,1,A,0,0,D,9,13,2,2,0,0
D Coote,2,0,H,1,0,H,12,9,2,3,0,0
K Friend,1,2,A,1,0,H,10,6,3,2,0,0
C Kavanagh,2,2,D,1,2,A,10,8,2,4,0,0
J Gillett,1,1,D,0,1,A,19,12,4,3,0,0
S Attwell,3,3,D,1,1,D,8,7,1,1,0,0
A Madley,0,1,A,0,0,D,12,8,0,0,0,0
C Pawson,3,1,H,3,0,H,12,13,2,1,0,0
A Marriner,1,1,D,1,0,H,12,10,2,3,0,0
M Oliver,1,1,D,1,0,H,10,9,1,1,0,0
K Friend,0,0,D,0,0,D,13,3,5,2,0,0
M Atkinson,3,1,H,1,0,H,11,13,1,3,0,1
S Hooper,1,0,H,1,0,H,10,16,0,3,0,0
G Scott,2,1,H,1,1,D,15,5,0,2,0,0
J Moss,0,0,D,0,0,D,8,5,2,1,0,0
A Taylor,2,2,D,0,2,A,15,11,2,3,0,0
C Kavanagh,2,1,H,1,0,H,11,14,2,1,0,0
P Bankes,1,2,A,0,1,A,16,13,2,3,0,0
P Tierney,2,2,D,0,0,D,10,12,3,3,0,0
J Moss,0,5,A,0,2,A,4,10,0,0,0,0
M Oliver,2,3,A,0,0,D,8,17,2,3,0,0
C Pawson,4,2,H,1,1,D,5,17,0,3,0,0
M Atkinson,2,0,H,1,0,H,11,5,1,0,0,0
P Bankes,0,0,D,0,0,D,5,14,3,5,0,0
D Coote,1,0,H,0,0,D,16,14,2,3,0,0
A Taylor,0,1,A,0,1,A,13,8,1,1,0,0
S Attwell,0,1,A,0,0,D,3,3,0,2,0,0
A Marriner,2,3,A,1,3,A,13,4,4,1,1,0
M Dean,2,2,D,1,0,H,7,4,1,1,0,0
C Pawson,3,1,H,2,0,H,17,10,2,5,0,0
A Madley,7,0,H,3,0,H,14,16,0,2,0,1
D England,1,1,D,0,0,D,13,9,3,4,0,0
G Scott,2,5,A,1,1,D,9,13,4,3,0,0
R Jones,1,1,D,0,1,A,15,14,2,3,0,0
C Kavanagh,2,2,D,1,1,D,10,11,1,3,0,0
K Friend,1,4,A,0,3,A,10,6,2,3,0,0
S Hooper,1,2,A,0,1,A,13,7,1,1,0,0
P Tierney,1,0,H,0,0,D,11,4,2,1,0,0
A Taylor,0,5,A,0,4,A,10,8,6,0,1,0
M Oliver,0,2,A,0,2,A,8,11,2,0,0,0
J Moss,3,1,H,3,0,H,7,10,1,1,0,0
M Dean,2,2,D,2,1,H,8,5,2,2,0,0
A Marriner,0,2,A,0,1,A,11,11,2,3,1,0
P Tierney,0,3,A,0,0,D,14,12,3,2,0,0
P Bankes,0,1,A,0,1,A,16,6,2,2,0,0
S Attwell,0,3,A,0,1,A,12,14,2,3,0,0
A Taylor,1,2,A,0,0,D,14,23,1,4,0,0
C Kavanagh,1,4,A,1,2,A,7,13,1,2,1,0
M Atkinson,2,1,H,2,0,H,10,8,1,1,0,0
A Madley,1,0,H,1,0,H,12,12,2,2,0,0
M Oliver,0,2,A,0,2,A,9,12,1,2,0,0
J Gillett,1,2,A,0,2,A,12,13,2,3,0,0
A Marriner,1,1,D,1,0,H,6,9,1,4,0,0
G Scott,2,0,H,0,0,D,14,13,2,1,0,0
D Coote,1,1,D,1,0,H,16,10,3,4,1,0
K Friend,1,0,H,0,0,D,6,19,4,2,0,1
C Kavanagh,0,0,D,0,0,D,13,17,2,4,1,0
D England,1,1,D,1,1,D,12,5,1,1,0,0
C Pawson,3,2,H,1,1,D,11,6,1,1,0,0
P Tierney,0,3,A,0,2,A,15,8,3,1,0,0
A Taylor,2,0,H,0,0,D,7,13,3,3,0,0
S Hooper,3,3,D,2,3,A,14,15,2,3,0,0
R Jones,3,3,D,2,2,D,13,11,2,2,0,0
M Atkinson,2,1,H,1,1,D,8,9,3,2,0,0
J Moss,4,1,H,2,0,H,7,5,2,1,0,1
M Dean,1,0,H,0,0,D,6,9,1,1,0,0
M Oliver,4,0,H,1,0,H,15,12,2,0,0,0
S Attwell,3,0,H,1,0,H,5,7,1,1,0,0
A Marriner,2,1,H,0,1,A,11,12,1,4,0,0
S Attwell,2,0,H,0,0,D,6,12,1,3,0,0
M Salisbury,1,2,A,0,1,A,12,10,3,3,0,0
A Marriner,4,0,H,3,0,H,7,14,0,1,0,0
S Hooper,0,0,D,0,0,D,11,10,2,2,0,0
C Pawson,0,0,D,0,0,D,12,14,1,3,0,0
D England,1,0,H,1,0,H,8,11,4,3,0,0
A Madley,4,2,H,3,1,H,5,19,0,0,0,0
M Oliver,2,1,H,1,0,H,7,6,2,0,0,0
A Taylor,1,1,D,0,0,D,13,14,2,5,0,0
A Madley,1,1,D,0,0,D,8,11,0,0,0,1
K Friend,1,0,H,0,0,D,15,15,5,3,0,0
R Jones,2,2,D,2,1,H,14,11,1,3,0,0
D Coote,1,2,A,1,1,D,18,16,4,3,0,0
C Kavanagh,1,1,D,1,0,H,10,8,1,1,0,0
J Brooks,0,0,D,0,0,D,5,7,2,3,0,0
M Dean,1,2,A,0,2,A,8,12,0,0,0,0
P Tierney,1,4,A,1,2,A,8,16,4,3,0,0
J Moss,2,0,H,1,0,H,13,11,0,0,0,0
M Atkinson,3,2,H,1,1,D,9,10,1,0,0,0
A Marriner,3,2,H,1,2,A,10,10,1,3,0,0
P Tierney,1,0,H,1,0,H,11,9,1,1,0,0
A Taylor,1,1,D,1,0,H,15,12,4,2,0,0
C Kavanagh,0,1,A,0,0,D,4,7,2,2,0,0
S Hooper,1,3,A,0,2,A,10,7,3,0,0,0
D Coote,2,2,D,1,0,H,11,9,5,3,0,0
C Pawson,1,0,H,0,0,D,16,9,2,2,0,0
J Gillett,3,0,H,1,0,H,11,4,1,2,0,0
M Oliver,2,1,H,1,1,D,8,25,1,1,0,0
M Dean,2,1,H,0,1,A,8,12,2,2,0,0
M Oliver,2,1,H,0,1,A,12,18,4,0,0,0
J Moss,1,0,H,0,0,D,12,5,3,2,0,1
J Gillett,3,0,H,2,0,H,5,9,2,0,0,0
C Kavanagh,3,2,H,1,1,D,9,15,2,5,0,0
S Attwell,1,0,H,0,0,D,13,6,1,2,0,0
D England,0,1,A,0,0,D,6,17,1,1,0,0
G Scott,0,0,D,0,0,D,13,11,2,1,0,0
P Bankes,4,0,H,1,0,H,9,16,2,3,0,0
A Madley,3,1,H,1,0,H,15,14,0,2,0,0
D Coote,0,2,A,0,1,A,12,9,3,1,0,0
P Tierney,7,0,H,3,0,H,5,9,1,1,0,0
T Harrington,0,1,A,0,1,A,11,14,2,0,0,0
S Hooper,2,2,D,1,2,A,16,20,2,4,0,0
A Taylor,2,0,H,0,0,D,8,9,2,0,0,1
M Oliver,1,1,D,0,0,D,11,11,2,3,0,0
M Dean,3,1,H,2,1,H,9,4,1,3,0,0
A Marriner,1,4,A,0,3,A,11,7,3,1,0,0
M Atkinson,0,4,A,0,2,A,9,6,1,2,0,0
D Coote,0,0,D,0,0,D,9,7,0,2,0,0
P Tierney,2,2,D,1,1,D,12,11,4,4,0,1
C Kavanagh,6,3,H,4,0,H,11,9,1,2,0,0
G Scott,0,5,A,0,2,A,13,7,1,2,0,0
J Moss,3,0,H,2,0,H,16,10,1,1,0,1
K Friend,2,3,A,0,1,A,10,9,2,3,0,0
M Atkinson,1,3,A,1,1,D,8,11,3,1,0,0
D England,2,0,H,2,0,H,8,10,1,3,0,0
C Pawson,1,1,D,1,0,H,11,8,3,3,0,0
P Tierney,3,0,H,3,0,H,9,13,1,2,0,0
A Taylor,1,1,D,1,1,D,15,5,2,2,1,0
D England,1,4,A,1,2,A,12,12,0,1,0,0
M Oliver,1,0,H,0,0,D,8,11,0,1,0,0
M Dean,1,1,D,1,0,H,14,7,4,1,0,0
D Coote,0,1,A,0,1,A,12,10,0,0,0,0
J Moss,3,1,H,3,1,H,5,10,0,0,0,0
S Attwell,1,2,A,1,0,H,13,5,3,2,1,0
R Jones,0,1,A,0,0,D,6,9,0,1,0,0
D England,2,3,A,0,3,A,6,16,0,2,0,0
C Pawson,2,1,H,1,1,D,17,11,2,2,0,0
J Brooks,2,3,A,0,2,A,5,12,1,1,0,0
P Tierney,3,1,H,1,0,H,11,7,2,1,0,0
A Taylor,2,2,D,2,2,D,5,13,1,2,0,0
M Dean,0,1,A,0,0,D,9,8,3,1,0,0
S Attwell,4,1,H,2,1,H,9,8,0,1,0,0
S Hooper,2,0,H,1,0,H,9,8,0,0,0,0
R Jones,1,1,D,0,0,D,11,7,0,2,0,0
C Pawson,1,0,H,0,0,D,11,6,0,2,0,0
P Tierney,1,1,D,0,0,D,13,13,3,2,0,0
A Madley,2,1,H,2,0,H,12,14,3,1,0,0
M Salisbury,3,1,H,1,0,H,13,14,2,3,0,0
D Coote,2,2,D,0,1,A,8,13,1,2,0,0
J Moss,3,0,H,1,0,H,6,6,0,1,0,0
M Dean,2,3,A,1,2,A,6,9,3,2,0,0
K Friend,1,1,D,0,1,A,8,5,1,2,0,0
J Moss,2,3,A,1,1,D,6,12,1,2,0,0
A Marriner,1,3,A,0,0,D,7,9,0,0,0,0
M Dean,0,3,A,0,0,D,16,11,0,1,1,0
C Pawson,0,1,A,0,1,A,14,16,5,3,0,0
P Bankes,1,2,A,0,0,D,6,7,2,3,0,0
C Kavanagh,0,1,A,0,0,D,9,9,4,2,0,0
J Moss,1,0,H,0,0,D,9,8,1,1,0,0
S Hooper,1,1,D,1,0,H,13,5,3,0,0,0
D Coote,0,0,D,0,0,D,9,13,0,2,0,0
K Friend,1,3,A,0,2,A,12,10,4,1,0,0
M Atkinson,1,1,D,0,0,D,6,8,0,1,0,0
P Tierney,2,0,H,0,0,D,17,14,2,1,0,0
C Pawson,0,0,D,0,0,D,16,9,1,2,0,0
A Taylor,3,1,H,1,1,D,13,13,2,3,0,0
M Atkinson,1,0,H,0,0,D,1,6,1,0,0,0
M Dean,1,1,D,0,1,A,11,10,2,1,0,0
D England,2,0,H,1,0,H,7,13,0,0,0,0
P Tierney,1,1,D,1,0,H,11,15,1,2,0,0
D Coote,2,3,A,1,1,D,7,13,2,3,0,0
J Gillett,3,3,D,3,2,H,11,9,1,3,1,0
C Kavanagh,2,0,H,1,0,H,11,7,1,0,0,0
M Oliver,0,1,A,0,1,A,12,13,2,3,0,1
S Attwell,1,1,D,1,0,H,12,13,4,0,0,0
S Hooper,0,0,D,0,0,D,10,10,1,0,0,0
G Scott,3,0,H,2,0,H,8,9,1,1,0,0
J Moss,0,2,A,0,1,A,16,9,3,2,0,0
A Marriner,0,4,A,0,1,A,7,8,0,2,0,0
M Atkinson,0,1,A,0,1,A,7,6,0,1,0,0
C Pawson,1,0,H,1,0,H,22,15,3,4,0,0
K Friend,0,2,A,0,2,A,13,13,3,1,0,0
M Oliver,2,2,D,1,1,D,10,9,1,2,0,0
P Bankes,2,0,H,0,0,D,8,10,3,1,0,1
C Kavanagh,1,1,D,1,1,D,3,7,3,3,0,0
J Moss,2,1,H,0,0,D,10,5,1,1,0,0
R Jones,0,1,A,0,0,D,12,7,1,2,0,0
K Friend,0,3,A,0,2,A,12,12,1,4,0,0
D Coote,0,1,A,0,0,D,4,20,1,3,0,0
M Dean,3,1,H,0,0,D,7,8,0,1,0,0
A Madley,2,0,H,0,0,D,6,9,0,2,0,0
A Taylor,2,3,A,1,1,D,5,7,0,3,0,0
P Tierney,2,4,A,0,2,A,13,19,6,3,0,0
C Pawson,2,1,H,1,1,D,12,9,4,4,0,0
G Scott,1,0,H,0,0,D,8,8,0,0,0,0
A Marriner,1,4,A,1,2,A,12,9,2,1,0,0
M Oliver,6,0,H,3,0,H,5,11,0,3,0,0
M Atkinson,2,1,H,0,1,A,8,9,1,1,0,0
S Hooper,2,0,H,1,0,H,12,9,1,2,0,0
C Pawson,0,4,A,0,3,A,16,11,4,2,0,0
M Dean,0,2,A,0,2,A,9,7,3,1,1,0
J Moss,1,1,D,1,0,H,5,17,0,2,0,0
K Friend,0,0,D,0,0,D,2,7,0,0,0,0
J Brooks,0,2,A,0,1,A,17,11,4,5,0,0
P Tierney,0,1,A,0,0,D,7,14,3,2,0,0
A Taylor,1,0,H,0,0,D,8,2,1,0,0,0
C Kavanagh,0,2,A,0,0,D,10,13,1,1,0,0
D Coote,1,0,H,0,0,D,9,12,1,2,0,0
P Bankes,4,0,H,2,0,H,10,8,1,1,0,0
A Marriner,0,4,A,0,0,D,12,7,2,0,0,0
M Atkinson,2,1,H,2,0,H,8,10,1,1,0,0
A Taylor,1,3,A,0,1,A,13,18,2,5,0,0
A Madley,0,2,A,0,2,A,13,8,0,3,0,0
J Moss,1,0,H,1,0,H,7,7,2,1,0,0
C Pawson,2,3,A,1,2,A,5,11,1,2,0,0
M Oliver,4,1,H,2,1,H,10,14,0,1,0,0
S Attwell,5,0,H,3,0,H,15,10,2,0,0,0
M Atkinson,1,3,A,0,2,A,8,15,0,2,0,0
K Friend,1,2,A,1,1,D,6,7,1,1,0,0
D England,4,0,H,2,0,H,11,10,2,2,0,0
S Hooper,0,3,A,0,1,A,17,11,5,3,0,0
M Dean,0,2,A,0,1,A,12,15,3,1,0,0
P Tierney,2,0,H,0,0,D,6,10,1,1,0,1
J Moss,3,2,H,2,1,H,8,7,2,1,0,0
D Coote,1,0,H,0,0,D,17,16,4,3,0,0
M Oliver,0,1,A,0,0,D,13,11,2,1,1,0
S Attwell,2,1,H,1,0,H,18,8,3,1,0,0
G Scott,1,2,A,1,2,A,8,12,3,2,0,0
J Gillett,2,1,H,0,0,D,9,3,1,0,0,0
A Taylor,2,0,H,1,0,H,8,10,0,3,0,0
M Atkinson,0,0,D,0,0,D,6,11,3,1,0,0
R Jones,0,2,A,0,1,A,11,9,2,2,0,0
A Marriner,0,2,A,0,0,D,9,9,0,1,0,0
C Pawson,1,0,H,0,0,D,13,11,2,1,1,0
K Friend,2,3,A,2,0,H,13,14,1,4,1,0
A Madley,0,1,A,0,1,A,13,14,3,3,0,0
D England,2,1,H,2,0,H,10,10,1,2,0,0
A Taylor,3,1,H,2,1,H,7,7,0,1,0,0
S Attwell,2,0,H,1,0,H,9,8,1,1,0,0
S Hooper,0,0,D,0,0,D,12,11,1,1,0,0
C Pawson,0,2,A,0,2,A,11,6,1,0,0,0
A Madley,1,4,A,0,0,D,11,7,0,0,0,0
A Taylor,1,1,D,1,0,H,14,7,1,1,0,0
D England,2,1,H,2,0,H,15,8,4,3,0,0
A Marriner,1,1,D,0,0,D,13,6,2,2,0,0
M Oliver,2,1,H,1,0,H,9,12,1,1,0,1
M Atkinson,5,1,H,1,1,D,10,7,2,3,0,0
P Tierney,3,0,H,2,0,H,11,15,0,2,0,0
M Dean,3,2,H,1,2,A,11,16,2,2,0,0
P Bankes,1,0,H,0,0,D,6,13,1,1,0,0
J Moss,1,0,H,1,0,H,4,10,2,2,0,0
D Coote,1,2,A,0,1,A,12,19,3,4,0,0
K Friend,0,6,A,0,4,A,11,10,1,0,0,0
A Marriner,0,3,A,0,1,A,8,12,2,0,0,0
G Scott,0,4,A,0,1,A,12,14,2,3,0,0
M Atkinson,2,0,H,0,0,D,2,6,0,1,0,0
R Jones,2,1,H,2,0,H,11,12,1,1,0,0
M Oliver,2,0,H,1,0,H,12,10,1,1,0,0
A Taylor,2,2,D,2,1,H,9,11,1,4,0,0
C Pawson,0,1,A,0,0,D,14,10,3,3,0,0
A Madley,3,2,H,2,1,H,7,6,0,0,0,0
P Bankes,1,0,H,1,0,H,6,6,2,1,0,0
S Hooper,1,2,A,0,1,A,11,9,2,1,0,0
J Gillett,2,1,H,1,1,D,10,10,2,2,0,0
P Tierney,1,1,D,0,1,A,9,10,2,2,0,0
M Atkinson,4,0,H,2,0,H,3,6,1,2,0,0
J Moss,2,4,A,2,2,D,7,6,3,1,0,0
D Coote,1,1,D,0,1,A,8,17,3,1,0,0
T Harrington,1,0,H,1,0,H,12,12,1,1,0,0
M Dean,3,0,H,0,0,D,12,7,0,3,0,0
S Attwell,2,0,H,2,0,H,7,7,2,2,0,0
C Pawson,3,1,H,2,1,H,9,12,3,4,0,0
A Madley,0,0,D,0,0,D,15,16,3,2,0,0
K Friend,5,1,H,3,1,H,9,7,1,0,0,0
C Kavanagh,0,3,A,0,2,A,11,10,0,2,0,0
M Atkinson,0,0,D,0,0,D,8,7,2,1,0,0
R Jones,2,2,D,2,1,H,12,7,1,0,0,0
A Taylor,1,0,H,0,0,D,8,7,3,1,0,0
M Oliver,1,0,H,0,0,D,11,9,1,0,0,1
S Attwell,2,0,H,0,0,D,8,8,2,5,0,0
D England,0,0,D,0,0,D,12,13,2,2,0,0
M Dean,1,1,D,0,0,D,9,12,0,1,0,0
A Marriner,0,1,A,0,1,A,11,11,1,3,0,0
J Brooks,2,0,H,1,0,H,16,8,4,1,0,0
J Gillett,1,2,A,1,0,H,13,11,1,3,0,0
C Pawson,1,2,A,1,0,H,13,9,1,2,0,0
S Hooper,0,3,A,0,1,A,6,4,2,1,0,0
P Tierney,0,4,A,0,1,A,13,3,1,2,0,0
K Friend,1,0,H,0,0,D,9,12,3,5,0,0
J Moss,3,1,H,1,0,H,13,8,2,3,0,0
M Dean,1,2,A,1,1,D,8,9,2,2,0,0
C Kavanagh,3,0,H,1,0,H,4,6,1,0,0,0
M Salisbury,3,0,H,2,0,H,12,9,0,1,0,0
D Coote,1,3,A,0,2,A,13,11,1,2,0,0
P Bankes,2,2,D,0,0,D,7,11,1,3,0,0
G Scott,1,0,H,1,0,H,11,18,2,1,0,1
A Madley,4,0,H,1,0,H,13,9,0,2,0,0
M Oliver,1,1,D,0,0,D,12,8,3,2,0,0
C Kavanagh,2,1,H,2,0,H,13,15,2,2,0,1
C Pawson,1,2,A,1,2,A,11,6,3,0,0,0
R Jones,0,4,A,0,3,A,7,7,1,1,0,0
S Attwell,5,0,H,2,0,H,6,11,1,3,0,0
J Moss,1,2,A,1,1,D,10,12,0,0,0,0
A Taylor,0,3,A,0,1,A,10,14,1,0,1,0
S Hooper,3,0,H,0,0,D,10,5,0,0,0,0
M Dean,0,0,D,0,0,D,5,12,1,2,0,0
M Atkinson,1,5,A,1,3,A,2,10,0,1,0,0
P Tierney,3,0,H,2,0,H,8,15,1,3,0,1
K Friend,1,0,H,1,0,H,12,8,3,2,0,0
C Kavanagh,1,1,D,0,0,D,11,15,1,3,0,0
M Dean,1,1,D,0,1,A,16,8,3,2,0,0
J Gillett,1,5,A,1,2,A,4,6,0,1,0,0
A Taylor,2,2,D,2,0,H,9,5,3,1,0,0
T Harrington,1,1,D,0,1,A,5,10,0,3,0,0
M Oliver,2,3,A,2,1,H,8,8,0,3,2,0
D England,2,0,H,0,0,D,11,8,0,3,0,0
M Atkinson,1,2,A,1,1,D,6,6,2,0,0,0
A Taylor,3,2,H,0,2,A,9,13,2,3,0,0
P Tierney,1,1,D,0,1,A,11,20,0,1,0,1
S Attwell,1,1,D,1,1,D,13,7,4,1,0,0
A Marriner,5,1,H,2,1,H,8,9,0,1,0,0
P Tierney,1,2,A,0,0,D,11,13,2,1,1,0
K Friend,3,1,H,0,1,A,9,9,1,1,0,0
C Pawson,1,2,A,0,1,A,8,9,1,0,0,0
M Dean,2,1,H,1,0,H,9,9,0,0,0,0
M Atkinson,1,0,H,1,0,H,12,22,2,4,0,0
J Moss,4,1,H,0,0,D,10,5,0,1,0,0
A Taylor,3,1,H,1,1,D,6,3,1,0,0,0
M Oliver,3,2,H,0,1,A,5,11,0,1,0,0
C Kavanagh,0,5,A,0,2,A,13,7,3,1,0,0
